Rank,Film,Year,Opening
1,The Fate of the Furious,2017,"$541,937,239.00"
2,Star Wars: The Force Awakens,2015,"$528,966,675.00"
3,Jurassic World,2015,"$524,909,010.00"
4,Harry Potter and the Deathly Hallows – Part 2,2011,"$483,189,427.00"
5,Star Wars: The Last Jedi,2017,"$450,821,889.00"
6,Batman v Superman: Dawn of Justice,2016,"$422,507,347.00"
7,Furious 7,2015,"$397,627,459.00"
8,Harry Potter and the Half-Blood Prince,2009,"$394,022,354.00"
9,Marvel's The Avengers,2012,"$392,538,708.00"
10,Avengers: Age of Ultron,2015,"$392,471,109.00"
11,Transformers: Dark of the Moon,2011,"$382,425,000.00"
12,Spider-Man 3,2007,"$381,660,892.00"
13,Captain America: Civil War,2016,"$379,539,142.00"
14,Iron Man 3,2013,"$372,553,677.00"
15,Beauty and the Beast,2017,"$357,026,593.00"
16,Pirates of the Caribbean: On Stranger Tides,2011,"$350,653,677.00"
17,Pirates of the Caribbean: At World's End,2007,"$343,972,864.00"
18,The Twilight Saga: Breaking Dawn – Part 2,2012,"$340,667,634.00"
19,Harry Potter and the Order of the Phoenix,2007,"$332,715,157.00"
20,Harry Potter and the Deathly Hallows – Part 1,2010,"$330,017,372.00"
21,Star Wars: Episode III – Revenge of the Sith,2005,"$303,949,700.00"
22,Transformers: Age of Extinction,2014,"$302,138,390.00"
23,The Twilight Saga: Breaking Dawn – Part 1,2011,"$291,022,261.00"
24,Rogue One: A Star Wars Story,2016,"$290,049,210.00"
25,Justice League,2017,"$278,842,239.00"
26,The Twilight Saga: New Moon,2009,"$274,939,137.00"
27,The Hunger Games: Mockingjay – Part 1,2014,"$273,897,634.00"
28,Indiana Jones and the Kingdom of the Crystal Skull,2008,"$272,150,927.00"
29,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"$271,809,637.00"
30,Suicide Squad,2016,"$266,982,248.00"
31,Deadpool,2016,"$264,711,361.00"
32,X-Men: Days of Future Past,2014,"$262,866,321.00"
33,Spider-Man: Homecoming,2017,"$256,535,853.00"
34,Guardians of the Galaxy Vol. 2,2017,"$252,522,752.00"
35,The Lord of the Rings: The Return of the King,2003,"$250,000,534.00"
36,The Dark Knight Rises,2012,"$248,887,295.00"
37,Logan,2017,"$247,444,337.00"
38,The Hunger Games: Mockingjay – Part 2,2015,"$247,158,007.00"
39,Transformers: The Last Knight,2017,"$243,880,073.00"
40,Fifty Shades of Grey,2015,"$242,360,418.00"
41,Avatar,2009,"$241,571,046.00"
42,The Da Vinci Code,2006,"$232,074,037.00"
43,Thor: Ragnarok,2017,"$231,831,205.00"
44,2012,2009,"$230,470,474.00"
45,The Twilight Saga: Eclipse,2010,"$228,893,465.00"
46,Wonder Woman,2017,"$228,251,471.00"
47,The Hobbit: An Unexpected Journey,2012,"$222,617,303.00"
48,Iron Man 2,2010,"$220,766,270.00"
49,Transformers: Revenge of the Fallen,2009,"$219,921,171.00"
50,Fantastic Beasts and Where to Find Them,2016,"$219,903,387.00"
51,Ice Age: Dawn of the Dinosaurs,2009,"$218,430,064.00"
52,The Hunger Games,2012,"$211,785,747.00"
53,Alice in Wonderland,2010,"$210,101,023.00"
54,The Hobbit: The Desolation of Smaug,2013,"$209,845,197.00"
55,Harry Potter and the Prisoner of Azkaban,2004,"$207,197,367.00"
56,War of the Worlds,2005,"$203,061,125.00"
57,Man of Steel,2013,"$201,981,486.00"
58,The Matrix Revolutions,2003,"$201,390,000.00"
59,Iron Man,2008,"$201,174,140.00"
